sku,season,kategori,nama_blend,komposisi_biji,dominant_roast,deskripsi,texture,resep_gramasi,rekomendasi_penyajian
S-AUT-052,Autumn,Seasonal Blend,Silk Autumn Edition,Flores Bajawa Medium Honey 45% | Java Sindoro Medium Honey 55%,Medium,"Karakter earthy yang menenangkan, blend earthy ini memadukan biji-biji terbaik dari Flores Bajawa dan Java Sindoro. Diproses dengan metode Honey, menghadirkan profil rasa macadamia, honey, dried apricot yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Flores Bajawa (Medium / Honey): 450g (45%) | Java Sindoro (Medium / Honey): 550g (55%) | total: 1000g,Best for Moka Pot
S-AUT-053,Autumn,Seasonal Blend,Harvest Autumn Valley,Kerinci Kayu Aro Medium Washed 60% | Solok Radjo Medium Anaerobic 25% | Lintong Onan Light Washed 15%,Medium,"Kaya rasa dengan kedalaman yang tak tertandingi, blend rustic ini memadukan biji-biji terbaik dari Kerinci Kayu Aro dan Solok Radjo dan Lintong Onan. Diproses dengan metode Washed & Anaerobic, menghadirkan profil rasa cacao nib, lemon zest, citrus yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Kerinci Kayu Aro (Medium / Washed): 600g (60%) | Solok Radjo (Medium / Anaerobic): 250g (25%) | Lintong Onan (Light / Washed): 150g (15%) | total: 1000g,Cocok untuk French Press & Espresso
S-AUT-054,Autumn,Seasonal Blend,Sacred Autumn Fusion,Semeru Light Wine 50% | Bali Kintamani Dark WetHulled 30% | Papua Wamena Dark Natural 20%,Medium,"Aroma karamel dan rempah yang khas, blend caramelized ini memadukan biji-biji terbaik dari Semeru dan Bali Kintamani dan Papua Wamena. Diproses dengan metode Wine & WetHulled, menghadirkan profil rasa blackcurrant, dark tobacco, intense earth yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Velvety,Semeru (Light / Wine): 500g (50%) | Bali Kintamani (Dark / WetHulled): 300g (30%) | Papua Wamena (Dark / Natural): 200g (20%) | total: 1000g,Versatile for Espresso & Filter
S-AUT-055,Autumn,Seasonal Blend,Volcano Autumn Estate,Semeru Medium Wine 60% | Java Garut Medium Wine 40%,Medium,"Karakter earthy yang menenangkan, blend mellow ini memadukan biji-biji terbaik dari Semeru dan Java Garut. Diproses dengan metode Wine, menghadirkan profil rasa balsamic, roasted grape, espresso yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Semeru (Medium / Wine): 600g (60%) | Java Garut (Medium / Wine): 400g (40%) | total: 1000g,Versatile for Espresso & Filter
S-AUT-056,Autumn,Seasonal Blend,Primal Autumn Reserve,Java Garut Light Wine 55% | Papua Dogiyai Medium Washed 30% | Sembalun Rinjani Medium WetHulled 15%,Light,"Aroma karamel dan rempah yang khas, blend golden ini memadukan biji-biji terbaik dari Java Garut dan Papua Dogiyai dan Sembalun Rinjani. Diproses dengan metode Washed & Wine, menghadirkan profil rasa wine, brown sugar, milk chocolate yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Light Body,Java Garut (Light / Wine): 550g (55%) | Papua Dogiyai (Medium / Washed): 300g (30%) | Sembalun Rinjani (Medium / WetHulled): 150g (15%) | total: 1000g,Pour Over Recommended
S-AUT-057,Autumn,Seasonal Blend,Ancient Autumn Collection,Java Ijen Raung Dark Honey 55% | Java Preanger Light Natural 30% | Bengkulu Light Anaerobic 15%,Medium,"Hangat seperti senja musim gugur, blend golden ini memadukan biji-biji terbaik dari Java Ijen Raung dan Java Preanger dan Bengkulu. Diproses dengan metode Honey & Natural, menghadirkan profil rasa cola, blueberry, passion fruit yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Java Ijen Raung (Dark / Honey): 550g (55%) | Java Preanger (Light / Natural): 300g (30%) | Bengkulu (Light / Anaerobic): 150g (15%) | total: 1000g,Best for Moka Pot
S-AUT-058,Autumn,Seasonal Blend,Heritage Autumn Spring,Arjuno Light Wine 60% | Wanoja Kamojang Dark Washed 25% | Java Puntang Medium Natural 15%,Light,"Kaya rasa dengan kedalaman yang tak tertandingi, blend rustic ini memadukan biji-biji terbaik dari Arjuno dan Wanoja Kamojang dan Java Puntang. Diproses dengan metode Washed & Wine, menghadirkan profil rasa prune, dark cherry, berry jam yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Delicate,Arjuno (Light / Wine): 600g (60%) | Wanoja Kamojang (Dark / Washed): 250g (25%) | Java Puntang (Medium / Natural): 150g (15%) | total: 1000g,Cocok untuk AeroPress
S-AUT-059,Autumn,Seasonal Blend,Bronze Autumn Ridge,Semeru Dark Washed 40% | Java Puntang Light WetHulled 35% | Arjuno Light Anaerobic 25%,Medium,"Karakter earthy yang menenangkan, blend earthy ini memadukan biji-biji terbaik dari Semeru dan Java Puntang dan Arjuno. Diproses dengan metode Washed & WetHulled, menghadirkan profil rasa passion fruit, smoky caramel, molasses yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Semeru (Dark / Washed): 400g (40%) | Java Puntang (Light / WetHulled): 350g (35%) | Arjuno (Light / Anaerobic): 250g (25%) | total: 1000g,Versatile for Espresso & Filter
S-AUT-060,Autumn,Seasonal Blend,Ancient Autumn Blend,Flores Bajawa Light Washed 45% | Java Ciwidey Medium Washed 55%,Light,"Kaya rasa dengan kedalaman yang tak tertandingi, blend golden ini memadukan biji-biji terbaik dari Flores Bajawa dan Java Ciwidey. Diproses dengan metode Washed, menghadirkan profil rasa hazelnut, citrus, caramel yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Silky,Flores Bajawa (Light / Washed): 450g (45%) | Java Ciwidey (Medium / Washed): 550g (55%) | total: 1000g,Pour Over Recommended
S-AUT-061,Autumn,Seasonal Blend,Mystic Autumn Select,Java Garut Medium Wine 50% | Bengkulu Light Honey 30% | Kerinci Kayu Aro Light Natural 20%,Light,"Karakter earthy yang menenangkan, blend earthy ini memadukan biji-biji terbaik dari Java Garut dan Bengkulu dan Kerinci Kayu Aro. Diproses dengan metode Wine & Natural, menghadirkan profil rasa roasted grape, floral, watermelon yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Java Garut (Medium / Wine): 500g (50%) | Bengkulu (Light / Honey): 300g (30%) | Kerinci Kayu Aro (Light / Natural): 200g (20%) | total: 1000g,Cocok untuk AeroPress
S-AUT-062,Autumn,Seasonal Blend,Serenity Autumn Reserve,Sembalun Rinjani Light Anaerobic 55% | Java Sindoro Medium WetHulled 45%,Light,"Karakter earthy yang menenangkan, blend mellow ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java Sindoro. Diproses dengan metode WetHulled & Anaerobic, menghadirkan profil rasa earthy, woody, spice yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Light Body,Sembalun Rinjani (Light / Anaerobic): 550g (55%) | Java Sindoro (Medium / WetHulled): 450g (45%) | total: 1000g,Cocok untuk AeroPress
S-AUT-063,Autumn,Seasonal Blend,Amber Autumn Fusion,Java Preanger Dark Wine 50% | Papua Dogiyai Dark Natural 30% | Java Puntang Dark Washed 20%,Dark,"Kaya rasa dengan kedalaman yang tak tertandingi, blend warm ini memadukan biji-biji terbaik dari Java Preanger dan Papua Dogiyai dan Java Puntang. Diproses dengan metode Washed & Wine, menghadirkan profil rasa licorice, molasses, espresso yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Thick,Java Preanger (Dark / Wine): 500g (50%) | Papua Dogiyai (Dark / Natural): 300g (30%) | Java Puntang (Dark / Washed): 200g (20%) | total: 1000g,Cocok untuk Cold Brew
S-AUT-064,Autumn,Seasonal Blend,Equator Autumn Peak,Java Garut Medium Honey 50% | Bengkulu Light SemiWashed 25% | Java Preanger Light Wine 25%,Light,"Kaya rasa dengan kedalaman yang tak tertandingi, blend golden ini memadukan biji-biji terbaik dari Java Garut dan Bengkulu dan Java Preanger. Diproses dengan metode SemiWashed & Honey, menghadirkan profil rasa honey, grape must, dark cherry yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Clean,Java Garut (Medium / Honey): 500g (50%) | Bengkulu (Light / SemiWashed): 250g (25%) | Java Preanger (Light / Wine): 250g (25%) | total: 1000g,Ideal for Chemex
S-AUT-065,Autumn,Seasonal Blend,Dawn Autumn Story,Flores Bajawa Light Natural 45% | Flores Manggarai Medium SemiWashed 55%,Light,"Kaya rasa dengan kedalaman yang tak tertandingi, blend earthy ini memadukan biji-biji terbaik dari Flores Bajawa dan Flores Manggarai. Diproses dengan metode SemiWashed & Natural, menghadirkan profil rasa blueberry, hibiscus, strawberry yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Delicate,Flores Bajawa (Light / Natural): 450g (45%) | Flores Manggarai (Medium / SemiWashed): 550g (55%) | total: 1000g,Best for V60
S-AUT-066,Autumn,Seasonal Blend,Sunrise Autumn Fusion,Java Temanggung Light Natural 60% | Flores Manggarai Medium Washed 25% | Toraja Sapan Medium Natural 15%,Light,"Kaya rasa dengan kedalaman yang tak tertandingi, blend golden ini memadukan biji-biji terbaik dari Java Temanggung dan Flores Manggarai dan Toraja Sapan. Diproses dengan metode Washed & Natural, menghadirkan profil rasa berry jam, strawberry, blueberry yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Light Body,Java Temanggung (Light / Natural): 600g (60%) | Flores Manggarai (Medium / Washed): 250g (25%) | Toraja Sapan (Medium / Natural): 150g (15%) | total: 1000g,Pour Over Recommended
S-AUT-067,Autumn,Seasonal Blend,Elysian Autumn Crest,Toraja Sapan Dark Honey 55% | Sidikalang Medium SemiWashed 30% | Java Garut Medium SemiWashed 15%,Dark,"Aroma karamel dan rempah yang khas, blend golden ini memadukan biji-biji terbaik dari Toraja Sapan dan Sidikalang dan Java Garut. Diproses dengan metode SemiWashed & Honey, menghadirkan profil rasa milk caramel, roasted nut, burnt caramel yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Syrupy,Toraja Sapan (Dark / Honey): 550g (55%) | Sidikalang (Medium / SemiWashed): 300g (30%) | Java Garut (Medium / SemiWashed): 150g (15%) | total: 1000g,Best for Batch Brew
S-AUT-068,Autumn,Seasonal Blend,Archipelago Autumn Edition,Bengkulu Dark SemiWashed 50% | Java Puntang Medium Washed 50%,Dark,"Hangat seperti senja musim gugur, blend golden ini memadukan biji-biji terbaik dari Bengkulu dan Java Puntang. Diproses dengan metode SemiWashed & Washed, menghadirkan profil rasa hazelnut, walnut, milk chocolate yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Syrupy,Bengkulu (Dark / SemiWashed): 500g (50%) | Java Puntang (Medium / Washed): 500g (50%) | total: 1000g,Best for Espresso
S-AUT-069,Autumn,Seasonal Blend,Copper Autumn Select,Flores Bajawa Dark Washed 40% | Gunung Halu Medium Honey 60%,Medium,"Kaya rasa dengan kedalaman yang tak tertandingi, blend rustic ini memadukan biji-biji terbaik dari Flores Bajawa dan Gunung Halu. Diproses dengan metode Washed & Honey, menghadirkan profil rasa honey, dried apricot, smoky caramel yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Flores Bajawa (Dark / Washed): 400g (40%) | Gunung Halu (Medium / Honey): 600g (60%) | total: 1000g,Cocok untuk French Press & Espresso
S-AUT-070,Autumn,Seasonal Blend,Heritage Autumn Peak,Gunung Halu Dark Honey 40% | Bengkulu Light Washed 60%,Medium,"Kaya rasa dengan kedalaman yang tak tertandingi, blend caramelized ini memadukan biji-biji terbaik dari Gunung Halu dan Bengkulu. Diproses dengan metode Washed & Honey, menghadirkan profil rasa burnt caramel, bergamot, lemon zest yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Gunung Halu (Dark / Honey): 400g (40%) | Bengkulu (Light / Washed): 600g (60%) | total: 1000g,Cocok untuk French Press & Espresso
S-AUT-071,Autumn,Seasonal Blend,Heritage Autumn Estate,Sidikalang Medium Natural 55% | Flores Bajawa Light WetHulled 45%,Light,"Kaya rasa dengan kedalaman yang tak tertandingi, blend warm ini memadukan biji-biji terbaik dari Sidikalang dan Flores Bajawa. Diproses dengan metode WetHulled & Natural, menghadirkan profil rasa prune, berry jam, herb yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Clean,Sidikalang (Medium / Natural): 550g (55%) | Flores Bajawa (Light / WetHulled): 450g (45%) | total: 1000g,Cocok untuk AeroPress
S-AUT-072,Autumn,Seasonal Blend,Ember Autumn Edition,Dampit Malang Medium Natural 50% | Bali Ulian Dark Natural 30% | Bukit Barisan Light Washed 20%,Medium,"Karakter earthy yang menenangkan, blend earthy ini memadukan biji-biji terbaik dari Dampit Malang dan Bali Ulian dan Bukit Barisan. Diproses dengan metode Washed & Natural, menghadirkan profil rasa dark chocolate, prune, jasmine yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Dampit Malang (Medium / Natural): 500g (50%) | Bali Ulian (Dark / Natural): 300g (30%) | Bukit Barisan (Light / Washed): 200g (20%) | total: 1000g,Versatile for Espresso & Filter
S-AUT-073,Autumn,Seasonal Blend,Archipelago Autumn Signature,Bengkulu Medium Wine 45% | Java Puntang Light Honey 35% | Aceh Gayo Light Anaerobic 20%,Light,"Hangat seperti senja musim gugur, blend rustic ini memadukan biji-biji terbaik dari Bengkulu dan Java Puntang dan Aceh Gayo. Diproses dengan metode Wine & Honey, menghadirkan profil rasa dark plum, white grape, port wine yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Bengkulu (Medium / Wine): 450g (45%) | Java Puntang (Light / Honey): 350g (35%) | Aceh Gayo (Light / Anaerobic): 200g (20%) | total: 1000g,Best for V60
S-AUT-074,Autumn,Seasonal Blend,Ember Autumn Blend,Gunung Halu Light WetHulled 55% | Temanggung Dark WetHulled 30% | Papua Dogiyai Light Natural 15%,Light,"Hangat seperti senja musim gugur, blend mellow ini memadukan biji-biji terbaik dari Gunung Halu dan Temanggung dan Papua Dogiyai. Diproses dengan metode WetHulled & Natural, menghadirkan profil rasa clove, hibiscus, peat yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Clean,Gunung Halu (Light / WetHulled): 550g (55%) | Temanggung (Dark / WetHulled): 300g (30%) | Papua Dogiyai (Light / Natural): 150g (15%) | total: 1000g,Cocok untuk AeroPress
S-AUT-075,Autumn,Seasonal Blend,Golden Autumn Crest,Bali Kintamani Dark Anaerobic 45% | Aceh Gayo Dark Anaerobic 55%,Dark,"Kaya rasa dengan kedalaman yang tak tertandingi, blend golden ini memadukan biji-biji terbaik dari Bali Kintamani dan Aceh Gayo. Diproses dengan metode Anaerobic, menghadirkan profil rasa black cherry, dark rum, smoke yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Bold,Bali Kintamani (Dark / Anaerobic): 450g (45%) | Aceh Gayo (Dark / Anaerobic): 550g (55%) | total: 1000g,Ideal untuk Ristretto
S-AUT-076,Autumn,Seasonal Blend,Celestial Autumn Select,Java Temanggung Medium SemiWashed 65% | Lampung Robusta Premium Medium SemiWashed 35%,Medium,"Karakter earthy yang menenangkan, blend mellow ini memadukan biji-biji terbaik dari Java Temanggung dan Lampung Robusta Premium. Diproses dengan metode SemiWashed, menghadirkan profil rasa apricot jam, roasted nut, milk caramel yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Java Temanggung (Medium / SemiWashed): 650g (65%) | Lampung Robusta Premium (Medium / SemiWashed): 350g (35%) | total: 1000g,Cocok untuk French Press & Espresso
S-AUT-077,Autumn,Seasonal Blend,Bronze Autumn Collection,Bengkulu Medium Natural 60% | Solok Radjo Medium WetHulled 25% | Java Preanger Dark SemiWashed 15%,Medium,"Hangat seperti senja musim gugur, blend mellow ini memadukan biji-biji terbaik dari Bengkulu dan Solok Radjo dan Java Preanger. Diproses dengan metode SemiWashed & WetHulled, menghadirkan profil rasa mushroom, berry jam, roasted grain yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Round,Bengkulu (Medium / Natural): 600g (60%) | Solok Radjo (Medium / WetHulled): 250g (25%) | Java Preanger (Dark / SemiWashed): 150g (15%) | total: 1000g,Cocok untuk French Press & Espresso
S-AUT-078,Autumn,Seasonal Blend,Equator Autumn Signature,Bali Kintamani Medium WetHulled 45% | Java Preanger Medium Natural 55%,Medium,"Hangat seperti senja musim gugur, blend golden ini memadukan biji-biji terbaik dari Bali Kintamani dan Java Preanger. Diproses dengan metode WetHulled & Natural, menghadirkan profil rasa dark chocolate, woody, berry jam yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Bali Kintamani (Medium / WetHulled): 450g (45%) | Java Preanger (Medium / Natural): 550g (55%) | total: 1000g,Cocok untuk French Press & Espresso
S-AUT-079,Autumn,Seasonal Blend,Dawn Autumn Valley,Kerinci Kayu Aro Medium WetHulled 60% | Bukit Barisan Light Natural 40%,Light,"Karakter earthy yang menenangkan, blend warm ini memadukan biji-biji terbaik dari Kerinci Kayu Aro dan Bukit Barisan. Diproses dengan metode WetHulled & Natural, menghadirkan profil rasa hibiscus, strawberry, mushroom yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Kerinci Kayu Aro (Medium / WetHulled): 600g (60%) | Bukit Barisan (Light / Natural): 400g (40%) | total: 1000g,Ideal for Chemex
S-AUT-080,Autumn,Seasonal Blend,Sunrise Autumn Valley,Wanoja Kamojang Light Honey 45% | Mandheling Medium Washed 55%,Light,"Hangat seperti senja musim gugur, blend warm ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Mandheling. Diproses dengan metode Washed & Honey, menghadirkan profil rasa almond, milk chocolate, white grape yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Light Body,Wanoja Kamojang (Light / Honey): 450g (45%) | Mandheling (Medium / Washed): 550g (55%) | total: 1000g,Pour Over Recommended
S-AUT-081,Autumn,Seasonal Blend,Midnight Autumn Fusion,Temanggung Dark SemiWashed 45% | Java Temanggung Light Honey 35% | Flores Bajawa Medium Washed 20%,Medium,"Kaya rasa dengan kedalaman yang tak tertandingi, blend rustic ini memadukan biji-biji terbaik dari Temanggung dan Java Temanggung dan Flores Bajawa. Diproses dengan metode SemiWashed & Washed, menghadirkan profil rasa walnut, dark caramel, almond yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Temanggung (Dark / SemiWashed): 450g (45%) | Java Temanggung (Light / Honey): 350g (35%) | Flores Bajawa (Medium / Washed): 200g (20%) | total: 1000g,Best for Moka Pot
S-AUT-082,Autumn,Seasonal Blend,Primal Autumn Select,Bali Kintamani Dark Honey 50% | Flores Bajawa Dark Natural 25% | Bali Kintamani Medium WetHulled 25%,Dark,"Hangat seperti senja musim gugur, blend warm ini memadukan biji-biji terbaik dari Bali Kintamani dan Flores Bajawa dan Bali Kintamani. Diproses dengan metode Honey & WetHulled, menghadirkan profil rasa smoked almond, earthy, charcoal yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Syrupy,Bali Kintamani (Dark / Honey): 500g (50%) | Flores Bajawa (Dark / Natural): 250g (25%) | Bali Kintamani (Medium / WetHulled): 250g (25%) | total: 1000g,Ideal untuk Ristretto
S-AUT-083,Autumn,Seasonal Blend,Serenity Autumn Collection,Lintong Onan Light WetHulled 45% | Sidikalang Dark WetHulled 35% | Bali Ulian Medium SemiWashed 20%,Medium,"Karakter earthy yang menenangkan, blend golden ini memadukan biji-biji terbaik dari Lintong Onan dan Sidikalang dan Bali Ulian. Diproses dengan metode SemiWashed & WetHulled, menghadirkan profil rasa bark, vanilla, apricot jam yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Lintong Onan (Light / WetHulled): 450g (45%) | Sidikalang (Dark / WetHulled): 350g (35%) | Bali Ulian (Medium / SemiWashed): 200g (20%) | total: 1000g,Versatile for Espresso & Filter
S-AUT-084,Autumn,Seasonal Blend,Velvet Autumn Journey,Java Temanggung Dark Anaerobic 55% | Papua Wamena Medium WetHulled 30% | Bali Kintamani Dark Honey 15%,Dark,"Kaya rasa dengan kedalaman yang tak tertandingi, blend caramelized ini memadukan biji-biji terbaik dari Java Temanggung dan Papua Wamena dan Bali Kintamani. Diproses dengan metode Honey & WetHulled, menghadirkan profil rasa spice, smoke, mushroom yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Syrupy,Java Temanggung (Dark / Anaerobic): 550g (55%) | Papua Wamena (Medium / WetHulled): 300g (30%) | Bali Kintamani (Dark / Honey): 150g (15%) | total: 1000g,Best for Espresso
S-AUT-085,Autumn,Seasonal Blend,Nusantara Autumn Ridge,Dampit Malang Medium SemiWashed 45% | Kerinci Kayu Aro Medium Anaerobic 55%,Medium,"Kaya rasa dengan kedalaman yang tak tertandingi, blend warm ini memadukan biji-biji terbaik dari Dampit Malang dan Kerinci Kayu Aro. Diproses dengan metode SemiWashed & Anaerobic, menghadirkan profil rasa roasted nut, apricot jam, cacao nib yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Velvety,Dampit Malang (Medium / SemiWashed): 450g (45%) | Kerinci Kayu Aro (Medium / Anaerobic): 550g (55%) | total: 1000g,Versatile for Espresso & Filter
S-AUT-086,Autumn,Seasonal Blend,Twilight Autumn Story,Java Ciwidey Light SemiWashed 50% | Java Garut Medium SemiWashed 25% | Bukit Barisan Dark Washed 25%,Medium,"Aroma karamel dan rempah yang khas, blend mellow ini memadukan biji-biji terbaik dari Java Ciwidey dan Java Garut dan Bukit Barisan. Diproses dengan metode SemiWashed & Washed, menghadirkan profil rasa light caramel, smoky caramel, dark roast yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Java Ciwidey (Light / SemiWashed): 500g (50%) | Java Garut (Medium / SemiWashed): 250g (25%) | Bukit Barisan (Dark / Washed): 250g (25%) | total: 1000g,Best for Moka Pot
S-AUT-087,Autumn,Seasonal Blend,Midnight Autumn Reserve,Flores Bajawa Light Washed 40% | Solok Radjo Medium Wine 60%,Light,"Kaya rasa dengan kedalaman yang tak tertandingi, blend earthy ini memadukan biji-biji terbaik dari Flores Bajawa dan Solok Radjo. Diproses dengan metode Washed & Wine, menghadirkan profil rasa jasmine, port wine, lemon zest yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Silky,Flores Bajawa (Light / Washed): 400g (40%) | Solok Radjo (Medium / Wine): 600g (60%) | total: 1000g,Best for V60
S-AUT-088,Autumn,Seasonal Blend,Amber Autumn Valley,Papua Wamena Dark Wine 50% | Sidikalang Dark Anaerobic 25% | Sembalun Rinjani Light Washed 25%,Dark,"Aroma karamel dan rempah yang khas, blend golden ini memadukan biji-biji terbaik dari Papua Wamena dan Sidikalang dan Sembalun Rinjani. Diproses dengan metode Washed & Wine, menghadirkan profil rasa green tea, smoke, aged wine yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Heavy Body,Papua Wamena (Dark / Wine): 500g (50%) | Sidikalang (Dark / Anaerobic): 250g (25%) | Sembalun Rinjani (Light / Washed): 250g (25%) | total: 1000g,Cocok untuk Cold Brew
S-AUT-089,Autumn,Seasonal Blend,Celestial Autumn Spring,Mandheling Medium WetHulled 60% | Java Ciwidey Medium Anaerobic 40%,Medium,"Aroma karamel dan rempah yang khas, blend earthy ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwidey. Diproses dengan metode WetHulled & Anaerobic, menghadirkan profil rasa fermented fruit, tobacco, woody yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Mandheling (Medium / WetHulled): 600g (60%) | Java Ciwidey (Medium / Anaerobic): 400g (40%) | total: 1000g,Best for Moka Pot
S-AUT-090,Autumn,Seasonal Blend,Equator Autumn Story,Wanoja Kamojang Light Wine 40% | Dampit Malang Medium WetHulled 60%,Light,"Karakter earthy yang menenangkan, blend caramelized ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Dampit Malang. Diproses dengan metode Wine & WetHulled, menghadirkan profil rasa tobacco, dark cherry, blackcurrant yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Wanoja Kamojang (Light / Wine): 400g (40%) | Dampit Malang (Medium / WetHulled): 600g (60%) | total: 1000g,Cocok untuk AeroPress
S-AUT-091,Autumn,Seasonal Blend,Nusantara Autumn Select,Bali Ulian Dark SemiWashed 60% | Papua Dogiyai Light Honey 25% | Lampung Robusta Premium Light WetHulled 15%,Medium,"Hangat seperti senja musim gugur, blend rustic ini memadukan biji-biji terbaik dari Bali Ulian dan Papua Dogiyai dan Lampung Robusta Premium. Diproses dengan metode SemiWashed & Honey, menghadirkan profil rasa floral, white grape, green pepper yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Bali Ulian (Dark / SemiWashed): 600g (60%) | Papua Dogiyai (Light / Honey): 250g (25%) | Lampung Robusta Premium (Light / WetHulled): 150g (15%) | total: 1000g,Best for Moka Pot
S-AUT-092,Autumn,Seasonal Blend,Celestial Autumn Blend,Java Sindoro Light Natural 55% | Java Temanggung Light WetHulled 30% | Toraja Kalosi Dark Natural 15%,Light,"Hangat seperti senja musim gugur, blend rustic ini memadukan biji-biji terbaik dari Java Sindoro dan Java Temanggung dan Toraja Kalosi. Diproses dengan metode WetHulled & Natural, menghadirkan profil rasa tropical fruit, tar, espresso yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Delicate,Java Sindoro (Light / Natural): 550g (55%) | Java Temanggung (Light / WetHulled): 300g (30%) | Toraja Kalosi (Dark / Natural): 150g (15%) | total: 1000g,Pour Over Recommended
S-AUT-093,Autumn,Seasonal Blend,Heritage Autumn Edition,Dampit Malang Dark Wine 50% | Java Temanggung Dark SemiWashed 25% | Temanggung Dark Anaerobic 25%,Dark,"Hangat seperti senja musim gugur, blend warm ini memadukan biji-biji terbaik dari Dampit Malang dan Java Temanggung dan Temanggung. Diproses dengan metode SemiWashed & Wine, menghadirkan profil rasa smoke, black cherry, smoked plum yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Syrupy,Dampit Malang (Dark / Wine): 500g (50%) | Java Temanggung (Dark / SemiWashed): 250g (25%) | Temanggung (Dark / Anaerobic): 250g (25%) | total: 1000g,Ideal untuk Ristretto
